fbPageId,about,affiliation,alwaysOpen,appId,attire,bestPage,built,canCheckin,category,checkins,communityPage,companyString,contactAddress,culinaryTeam,currentLocation,description,displaySubtext,errorCode,errorMessage,fbId,features,founded,generalInfo,generalManager,geoSpecial,givenUrl,globalBrandRootId,hours,impressum,job,liTab,likes,link,location,members,mission,mpg,name,nameWithBrandOrLocation,overview,parentPageId,parking,paymentOptions,permanentlyClosed,personalInfo,personalInterests,pharmaSafetyInfo,phone,placeType,priceRange,products,publicTransit,restaurantServices,restaurantSpecialties,singleLineAddress,startDate,startType,storeLocationDescriptor,storeNumber,talkingAbout,unclaimed,username,verificationStatus,verified,voipInfo,website,wereHere,realStartDate
22,"At Alston & Bird, our people trust the people they work for, take pride in what they do, and serve the communities in which they live.",NULL,0,NULL,NULL,NULL,NULL,1,Legal/Law,905,0,"Alston & Bird",null,NULL,NULL,NULL,"1201 W Peachtree St NW・Atlanta, Georgia・905 people checked in here",NULL,NULL,109329898949,NULL,1893,NULL,NULL,,https://www.facebook.com/pages/Alston-Bird-LLP/109329898949?fref=ts,NULL,null,NULL,0,0,488,https://www.facebook.com/Alston-Bird-LLP-109329898949/,"Location[city=Atlanta country=United States latitude=33.7874 locatedIn=null longitude=-84.38733 name=null region=null state=GA street=1201 W Peachtree St NW zip=30309]",NULL,"ABBREVThe firm's unique culture and core values have been developed and maintained for more than a century.  Core values that are of the utmost importance to the firm include collegiality, teamwork, firm loyalty, diversity, individual satisfaction, fai...",NULL,"Alston & Bird LLP",NULL,"Alston & Bird is a major U.S. law firm with over 750 attorneys in ten locations: Atlanta, Beijing, Brussels, Charlotte, Dallas, Los Angeles, New York, Raleigh, Silicon Valley, & Washington, DC",NULL,NULL,null,0,NULL,NULL,NULL,NULL,PLACE,NULL,"Full Service International Law Firm",NULL,null,null,"1201 W Peachtree St NW, Atlanta, Georgia 30309",com.restfb.types.Page$PageStartDate@27bca9b,Founded,NULL,NULL,11,0,NULL,not_verified,0,com.restfb.types.Page$VoipInfo@185895ab,www.alston.com,905,"1892-12-31 16:21:31"
23,"Ultimate Software’s #PeopleFirst approach makes Human Resources human. Our unified HR solution, UltiPro, manages and solves your global HCM, payroll issues",NULL,0,NULL,NULL,NULL,NULL,1,Product/Service,182,0,"Ultimate Software",null,NULL,NULL,"ABBREVUltimate Software’s cloud-based UltiPro helps simplify and improve work experiences for all employees. Organizations can easily manage global people data and processes with UltiPro and ensure their people feel engaged and productive from day one....","2000 Ultimate Way・Weston, Florida・182 people checked in here",NULL,NULL,29660886831,NULL,1990,"ABBREVUltimate Software’s cloud-based UltiPro® helps simplify work experiences for all employees. With UltiPro, you deliver personalized talent acquisition experiences, guide employees through important benefits choices, simplify payroll computations, ...",NULL,,https://www.facebook.com/UltimateSoftware?fref=ts,NULL,null,NULL,0,0,10602,https://www.facebook.com/UltimateSoftware/,"Location[city=Weston country=United States latitude=null locatedIn=null longitude=null name=null region=null state=FL street=2000 Ultimate Way zip=33326-3643]",NULL,NULL,NULL,"Ultimate Software, Inc.",NULL,"Ultimate Software delivers cloud-based HCM solutions that help businesses personalize talent acquisition, simplify payroll computations, manage time and attendance, and support proactive, strategic talent management.",NULL,NULL,null,0,NULL,NULL,NULL,"(954) 331-7000",NULL,NULL,"Founded in 1990, Ultimate Software’s cloud solution, UltiPro®, helps people simplify work. With UltiPro, organizations can easily manage all people data and processes and increase engagement and productivity across their entire global workforce.",NULL,null,null,"2000 Ultimate Way, Weston, Florida 33326",com.restfb.types.Page$PageStartDate@6fe7fe7b,Unspecified,NULL,NULL,749,0,UltimateSoftware,not_verified,0,com.restfb.types.Page$VoipInfo@25b4f276,http://www.ultimatesoftware.com,0,"1989-12-31 16:21:31"
24,"Our 5,200+ engineers, architects, construction professionals, scientists & consultants are making the world a more amazing place. ",NULL,0,NULL,NULL,NULL,NULL,1,Engineering/Construction,41,0,"Burns & McDonnell",null,NULL,NULL,"ABBREVBurns & McDonnell is making the world a more amazing place, one project and one relationship at a time. With 5,200+ engineers, architects, construction professionals, scientists and consultants, we take on some of the world’s toughest challenges ...","9400 Ward Pkwy・Kansas City, Missouri・41 people checked in here",NULL,NULL,193157160706830,NULL,1898,NULL,NULL,,https://www.facebook.com/BurnsMcDonnellCareers?fref=ts,NULL,null,NULL,0,0,977,https://www.facebook.com/BurnsMcDonnellCareers/,"Location[city=Kansas City country=United States latitude=38.959571368396 locatedIn=null longitude=-94.599171390912 name=null region=null state=MO street=9400 Ward Pkwy zip=64114]",NULL,NULL,NULL,"Burns & McDonnell Careers",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,"(816) 333-9400",PLACE,NULL,NULL,NULL,null,null,"9400 Ward Pkwy, Kansas City, Missouri 64114",com.restfb.types.Page$PageStartDate@65f77365,Unspecified,NULL,NULL,28,0,BurnsMcDonnellCareers,not_verified,0,com.restfb.types.Page$VoipInfo@7b895a37,http://www.burnsmcd.com/Careers,41,"1897-12-31 16:21:32"
25,"The Customer Success Platform. Stay up-to-date on the latest news, product announcements and innovative ideas. ",NULL,0,NULL,NULL,NULL,NULL,1,Company,5201,0,Salesforce.com,null,NULL,NULL,"ABBREVWelcome to the world of the ever connected, always on, highly opinionated, on the move customer. This is a customer who understands they now have power. And they know how to use it. They have expectations. And they have choices if those expectati...","5,201 people checked in here",NULL,NULL,5634829153,NULL,1999,NULL,NULL,,https://www.facebook.com/salesforce?fref=ts,744264495654521,null,NULL,0,0,565243,https://www.facebook.com/salesforce/,null,NULL,"The End of Software",NULL,Salesforce,NULL,"ABBREVWith 100,000+ customers, salesforce.com is the enterprise cloud computing company that is leading the shift to the socially connected businesses.

Visit our blog for thought leadership, product tips and news: http://blogs.salesforce.com/

Sociall...",NULL,NULL,null,0,NULL,NULL,NULL,"(415) 901-7000",NULL,NULL,"Sales Cloud, SalesforceIQ, Data.com

Service Cloud, Desk.com

Marketing Cloud, Pardot

Community Cloud, Chatter

Wave Analytics

App Cloud, Force.com, Heroku 

IoT Cloud ",NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@17cab485,Founded,NULL,NULL,4560,0,salesforce,blue_verified,1,com.restfb.types.Page$VoipInfo@615c4b3d,http://www.salesforce.com,0,"1998-12-31 16:21:32"
26,"PCL is a group of independent construction companies that carries out work across Canada, the United States, the Caribbean, and in Australia. The organization has operations in the civil infrastructure, heavy industrial, and buildings markets. ",NULL,0,NULL,NULL,NULL,NULL,1,Engineering/Construction,0,0,"PCL Construction Enterprises",null,NULL,NULL,"ABBREVPCL is involved with more than 700 projects at any one time. These range in value from $20,000 to more than $1 billion and include office towers, residential condominiums, retail outlets, hotels and resorts, educational and health care facilities...",NULL,NULL,NULL,109150299248234,NULL,1906,NULL,NULL,,https://www.facebook.com/PCLconstruction?fref=ts,NULL,null,NULL,0,0,11733,https://www.facebook.com/PCLconstruction/,null,NULL,"Aspiring to be the most respected builder, renowned for excellence, leadership, and unsurpassed value.",NULL,"PCL Construction",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,NULL,NULL,NULL,"A variety of construction services for any size project. ",NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@260a469f,Unspecified,NULL,NULL,359,0,PCLconstruction,not_verified,0,com.restfb.types.Page$VoipInfo@4484fa4,www.pcl.com,0,"1905-12-31 16:21:33"
27,"Click 'About' to view disclosures. Scottrade is a financial services firm dedicated to improving lives by helping overcome barriers to success.  ",NULL,0,NULL,NULL,NULL,NULL,1,"Bank/Financial Institution",0,0,Scottrade,null,NULL,NULL,"Our social media customer service team is here to answer your questions on Facebook, Monday through Friday from 8 a.m. to 8 p.m. CT.",NULL,NULL,NULL,15601935371,NULL,1980,NULL,NULL,,https://www.facebook.com/Scottrade?fref=ts,NULL,null,NULL,0,0,85992,https://www.facebook.com/Scottrade/,null,NULL,NULL,NULL,Scottrade,NULL,"ABBREVScottrade will never ask you to disclose your account or other financial information on any Scottrade social media site, which may include, without limitation, Twitter, Facebook, LinkedIn, Foursquare, Flickr, Pinterest, Vine, Instagram, YouTube, ...",NULL,NULL,null,0,NULL,NULL,NULL,1-800-619-7283,NULL,NULL,"ETFs and ESAs
No Transaction-Fee Mutual Funds
Options Trading 
Stock Investments
Fixed Income Investments 
*For more information visit http://www.scottrade.com.
",NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@5014d2fc,Founded,NULL,NULL,3340,0,Scottrade,blue_verified,1,com.restfb.types.Page$VoipInfo@1f8ea2c,"http://www.scottrade.com ",0,"1980-06-05 16:21:33"
28,"Bring your passion. Find your Purpose. Fulfill your mission. 
wfm.com/careers",NULL,1,NULL,NULL,NULL,NULL,1,Food/Beverages,17,0,"Whole Foods Market",null,NULL,NULL,"ABBREVSearch Jobs at: http://www.wholefoodsmarket.com/careers/find-and-apply-jobs

Whole Foods Market attracts people who are passionate—about great food, about the communities they live in, about how we treat our planet and our fellow humans—and who w...","Austin, Texas・17 people checked in here",NULL,NULL,525560857527063,NULL,1980,NULL,NULL,,https://www.facebook.com/wholefoodsmarketcareers?fref=ts,NULL,null,NULL,0,0,14789,https://www.facebook.com/wholefoodsmarketcareers/,"Location[city=Austin country=United States latitude=null locatedIn=null longitude=null name=null region=null state=TX street=null zip=78703]",NULL,"ABBREVOur Core Values are based on Organic Farming, Seafood Sustainability, Animal Welfare, Care for Communities and our Whole Trade Guarantee.

The above list reflects what is truly important to us as an organization. These are not values that change ...",NULL,"Whole Foods Market Careers",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,<<not-applicable>>,NULL,NULL,NULL,NULL,null,null,"Austin, Texas 78703",com.restfb.types.Page$PageStartDate@2b2c2ef8,Founded,NULL,NULL,134,0,wholefoodsmarketcareers,not_verified,0,com.restfb.types.Page$VoipInfo@27f28ee2,http://www.wholefoodsmarket.com/careers/find-and-apply-jobs,0,"1980-09-30 16:21:34"
29,NULL,NULL,0,NULL,NULL,NULL,NULL,1,"Bank/Financial Institution",0,0,"Goldman Sachs",null,NULL,NULL,NULL,NULL,NULL,NULL,105502129547319,NULL,NULL,NULL,NULL,,https://www.facebook.com/goldmansachscareers?fref=ts,NULL,null,NULL,0,0,201,https://www.facebook.com/goldmansachscareers/,null,NULL,NULL,NULL,"Goldman Sachs Careers",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,null,null,NULL,null,Unspecified,NULL,NULL,3,0,goldmansachscareers,not_verified,0,com.restfb.types.Page$VoipInfo@2ca7e95c,http://www.goldmansachs.com,0,NULL
30,"An extraordinary grocery experience, Nugget Markets features specialty and everyday goods, chef-led kitchens and more at 12 Northern California locations.",NULL,0,NULL,NULL,NULL,NULL,1,Food/Grocery,26,0,"Nugget Market",null,NULL,NULL,"ABBREVNugget Markets is a full-line grocery store that provides high-quality perishables and organics, ethnic products, specialty grocery items and conventional goods in a European marketplace setting. Chef-led kitchens offer an array of freshly prepar...","Corporate Office: 168 Court Street・Woodland, California・26 people checked in here",NULL,NULL,260624001193,NULL,1926,NULL,NULL,,https://www.facebook.com/nuggetmarkets?fref=ts,NULL,null,NULL,0,0,24581,https://www.facebook.com/nuggetmarkets/,"Location[city=Woodland country=United States latitude=38.6787599 locatedIn=null longitude=-121.77483 name=null region=null state=CA street=Corporate Office: 168 Court Street zip=95695]",NULL,"ABBREVWe are a family of dedicated people with a love of food and a passion for excellent service. We are committed to constant improvement, our people, and most importantly, guest satisfaction. Our associates are our competitive edge—superior quality ...",NULL,"Nugget Markets",NULL,"ABBREVNugget Market, Inc. is a family-owned and -operated company dedicated to providing guests an extraordinary grocery experience. Based in Yolo County, California, Nugget Market, Inc. was founded by Mack and William Stille in 1926. Eric Stille is CE...",NULL,NULL,null,0,NULL,NULL,NULL,"(530) 669-3300",PLACE,NULL,"ABBREVNugget Markets offers a wide array of fresh, high quality perishable foods including an extensive organic and local produce selection, sustainably rated seafood, organic and grass-fed meats, and chef-prepared entrées, salads and sides. We offer m...",NULL,null,null,"Corporate Office: 168 Court Street, Woodland, California 95695",null,Unspecified,NULL,NULL,699,0,nuggetmarkets,not_verified,0,com.restfb.types.Page$VoipInfo@23779df3,http://www.nuggetmarket.com,26,NULL
31,"Follow our Corporate Communications Team on the official Facebook page of Takeda Oncology Review our guidelines at http://bit.ly/L7jLzS",NULL,0,NULL,NULL,NULL,NULL,1,Health/Medical/Pharmaceuticals,0,0,"Millennium: The Takeda Oncology Company",null,NULL,NULL,"Takeda Oncology combines the innovative science of a leading American biopharmaceutical company with the global assets – both intellectual and fiscal – of Japan's largest pharmaceutical company.","Cambridge, Massachusetts",NULL,NULL,201874996515231,NULL,NULL,NULL,NULL,,https://www.facebook.com/TakedaOncology?fref=ts,NULL,null,NULL,0,0,831,https://www.facebook.com/TakedaOncology/,"Location[city=Cambridge country=United States latitude=null locatedIn=null longitude=null name=null region=null state=MA street=null zip=null]",NULL,"Our mission is to deliver extraordinary medicines to patients with cancer worldwide through our science, innovation, and passion.",NULL,"Takeda Oncology",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,1-866-835-2233,NULL,NULL,"We are focused exclusively in oncology to improve the treatment of cancer around the world. Our pipeline has more than 15 oncology investigational compounds that target a broad range of cancers.",NULL,null,null,"Cambridge, Massachusetts",null,Unspecified,NULL,NULL,59,0,TakedaOncology,not_verified,0,com.restfb.types.Page$VoipInfo@47616895,http://takedaoncology.com/,0,NULL
32,"SOMC is a 222-bed hospital providing a wide range of health-care services. To apply for a job, visit www.somc.org/employee/employment/",NULL,0,NULL,NULL,NULL,NULL,1,Health/Medical/Pharmaceuticals,22827,0,"Southern Ohio Medical Center",null,NULL,NULL,"Very good things are happening here!","1805 27th St・Portsmouth, Ohio・22,827 people checked in here",NULL,NULL,220886824589689,NULL,NULL,NULL,NULL,,https://www.facebook.com/SouthernOhioMedicalCenter?fref=ts,NULL,null,NULL,0,0,5649,https://www.facebook.com/SouthernOhioMedicalCenter/,"Location[city=Portsmouth country=United States latitude=38.753349516839 locatedIn=null longitude=-82.978081266017 name=null region=null state=OH street=1805 27th St zip=45662]",NULL,"We will make a difference.",NULL,"Southern Ohio Medical Center",NULL,NULL,NULL,NULL,null,0,NULL,NULL,"ABBREV** SOMC FACEBOOK COMMENT POLICY

I.	POLICY

Southern Ohio Medical Center (SOMC) believes that participation in online communities can promote better communication with SOMC’s colleagues and customers, the general public, traditional and non-tradi...","(740) 356-5000",PLACE,NULL,NULL,NULL,null,null,"1805 27th St, Portsmouth, Ohio 45662",com.restfb.types.Page$PageStartDate@7aeb1b7,Founded,NULL,NULL,398,0,SouthernOhioMedicalCenter,not_verified,0,com.restfb.types.Page$VoipInfo@4e9989ac,www.somc.org,22827,"1985-12-31 16:21:36"
33,NULL,NULL,0,NULL,NULL,NULL,NULL,1,"Local Business",2367,1,"W. L. Gore & Associates",null,NULL,NULL,NULL,"1746 State Route 34・Farmingdale, New Jersey・2,367 people checked in here",NULL,NULL,177071832305185,NULL,NULL,NULL,NULL,,https://www.facebook.com/pages/WL-Gore-Associates/177071832305185?fref=ts,NULL,null,NULL,0,0,37,https://www.facebook.com/pages/WL-Gore-Associates/177071832305185,"Location[city=Farmingdale country=United States latitude=40.185073986791 locatedIn=null longitude=-74.11109353726 name=null region=null state=NJ street=1746 State Route 34 zip=07727]",NULL,NULL,NULL,"W.L. Gore & Associates",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,"(732) 280-4804",PLACE,NULL,NULL,NULL,null,null,"1746 State Route 34, Farmingdale, New Jersey 07727",null,Unspecified,NULL,NULL,0,1,NULL,not_verified,0,com.restfb.types.Page$VoipInfo@47af516d,www.gore.com,2367,NULL
34,"Welcome to the St. Jude Children’s Research Hospital Facebook page. Before you post, please review our posting policy located on the About page.
",NULL,0,NULL,NULL,NULL,NULL,1,"Non-Profit Organization",107089,0,"St. Jude Children's Research Hospital",null,NULL,NULL,NULL,"501 Saint Jude Pl・Memphis, Tennessee・107,089 people checked in here",NULL,NULL,6435441794,NULL,1962,"ABBREVPOSTING POLICY: Welcome to the St. Jude Children’s Research Hospital Facebook page. We invite you to share your comments, stories and experiences with us. Before you post, please keep a few things in mind.

Please be respectful of other users’ co...",NULL,,https://www.facebook.com/stjude?fref=ts,NULL,null,NULL,0,0,1929371,https://www.facebook.com/stjude/,"Location[city=Memphis country=United States latitude=35.153402127368 locatedIn=null longitude=-90.043540609677 name=null region=null state=TN street=501 Saint Jude Pl zip=38105]",NULL,"Finding cures. Saving children.",NULL,"St. Jude Children's Research Hospital",NULL,"ABBREVSt. Jude Children's Research Hospital, founded by the late entertainer Danny Thomas, is one of the world's premier centers for the research and treatment of pediatric cancer and other catastrophic childhood diseases. St. Jude is the first and onl...",NULL,NULL,null,0,NULL,NULL,NULL,"(800) 822-6344",PLACE,NULL,NULL,NULL,null,null,"501 Saint Jude Pl, Memphis, Tennessee 38105",com.restfb.types.Page$PageStartDate@461a7007,Founded,NULL,NULL,87645,0,stjude,blue_verified,1,com.restfb.types.Page$VoipInfo@27c1b9ca,"http://www.stjude.org http://www.facebook.com/stjude http://www.twitter.com/stjude http://www.youtube.com/mystjude",107089,"1961-12-31 16:21:37"
35,"Helping innovative companies and their investors move bold ideas forward, fast.",NULL,0,NULL,NULL,NULL,NULL,1,"Bank/Financial Institution",0,0,"SVB Financial Group",null,NULL,NULL,NULL,NULL,NULL,NULL,17979232866,NULL,1983,NULL,NULL,,https://www.facebook.com/SVBFinancialGroup?fref=ts,NULL,null,NULL,0,0,4495,https://www.facebook.com/SVBFinancialGroup/,null,NULL,NULL,NULL,"Silicon Valley Bank",NULL,"ABBREVFor more than 30 years, Silicon Valley Bank has helped innovative companies and their investors move bold ideas forward, fast. We provide a full range of financial services to companies of all sizes in innovation centers around the world. 

To en...",NULL,NULL,null,0,NULL,NULL,NULL,"1.800.774.7390 ",NULL,NULL,"ABBREVSVB Financial Group’s (NASDAQ: SIVB) businesses, including Silicon Valley Bank, offer commercial and private banking, asset management, private wealth management, brokerage and investment services, funds management and business valuation services...",NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@2bb4f238,Founded,NULL,NULL,135,0,SVBFinancialGroup,not_verified,0,com.restfb.types.Page$VoipInfo@1e01d883,www.svb.com,0,"1983-11-17 16:21:37"
36,"We are changing the world through digital experiences.",NULL,0,NULL,NULL,NULL,NULL,1,Product/Service,0,0,Adobe,null,NULL,NULL,"ABBREVDigital Media (http://www.adobe.com/digital-media)
Adobe tools help customers create highly compelling content, deliver it across diverse media and devices, and then optimize it through systematic targeting and measurement. Only Adobe offers this...",NULL,NULL,NULL,305115773870,NULL,1982,"ABBREVWe've enabled Direct Messaging on our Facebook page so if you have a question for us, send it to us directly for a quicker response.

To help us maintain meaningful and constructive discussions on our Facebook page, we ask that you follow the gui...",NULL,,https://www.facebook.com/Adobe?fref=ts,NULL,null,NULL,0,0,327132,https://www.facebook.com/Adobe/,null,NULL,NULL,NULL,Adobe,NULL,"ABBREVWhether it's a smartphone or tablet app, a game, a video, a digital magazine, a website, or an online experience, chances are that it was touched by Adobe technology. Our tools and services enable our customers to create groundbreaking digital co...",NULL,NULL,null,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@14de1f6d,Founded,NULL,NULL,1185,0,Adobe,blue_verified,1,com.restfb.types.Page$VoipInfo@1dfe28c4,http://www.adobe.com,0,"1983-01-02 16:21:38"
37,"The mission of Baptist Health is to improve the health and well-being of individuals, and to promote the sanctity and preservation of life, in the communities we serve.  ",NULL,0,NULL,NULL,NULL,NULL,1,"Non-Profit Organization",15971,0,"Baptist Health South Florida",null,NULL,NULL,NULL,"6855 Red Rd, Ste 500・Miami, Florida・15,971 people checked in here",NULL,NULL,127900310965,NULL,NULL,"All patient images are used with prior written consent. Please do not share personal health information on this page.",NULL,,https://www.facebook.com/BaptistHealthSF?fref=ts,NULL,null,NULL,0,0,48294,https://www.facebook.com/BaptistHealthSF/,"Location[city=Miami country=United States latitude=25.705458 locatedIn=null longitude=-80.285242 name=null region=null state=FL street=6855 Red Rd, Ste 500 zip=33143]",NULL,"ABBREVThe mission of Baptist Health is to improve the health and well-being of individuals, and to promote the sanctity and preservation of life, in the communities we serve. Baptist Health is a faith-based organization guided by the spirit of Jesus Ch...",NULL,"Baptist Health South Florida",NULL,"ABBREVBaptist Health South Florida is the largest faith-based, not-for-profit health care organization in the region, with an outstanding reputation for medical and service excellence. Its network of services extends throughout Miami-Dade, Broward and ...",NULL,NULL,null,0,NULL,NULL,NULL,NULL,PLACE,NULL,"ABBREVBaptist Health provides free referrals to nearly 1,000 physicians on the medical staff of our hospitals in Miami-Dade and Monroe Counties.  Our referral service representatives speak English and Spanish.  

To find a doctor who speaks your langua...",NULL,null,null,"6855 Red Rd, Ste 500, Miami, Florida 33143",com.restfb.types.Page$PageStartDate@279285da,Opened,NULL,NULL,454,0,BaptistHealthSF,not_verified,0,com.restfb.types.Page$VoipInfo@70924542,http://BaptistHealth.net,15971,"1960-12-21 16:21:38"
38,"We help people affected by diabetes and other serious chronic conditions live with as few limitations as possible.",NULL,0,NULL,NULL,NULL,NULL,1,Health/Medical/Pharmaceuticals,422,0,"Novo Nordisk",null,NULL,NULL,"ABBREVThis page isn’t intended for US audiences.

This page is for discussions about Novo Nordisk and its subsidiaries and the initiatives and projects we are involved in. While we welcome Facebook members to make comments, we reserve the right to remo...","Novo Allé・Bagsværd, Kobenhavn, Denmark・422 people checked in here",NULL,NULL,105548031768,NULL,1923,NULL,NULL,,https://www.facebook.com/novonordisk?fref=ts,NULL,null,NULL,0,0,471534,https://www.facebook.com/novonordisk/,"Location[city=Bagsværd country=Denmark latitude=19.436100941897 locatedIn=null longitude=-99.205060208018 name=null region=null state=null street=Novo Allé zip=2880]",NULL,NULL,NULL,"Novo Nordisk",NULL,NULL,NULL,NULL,null,0,NULL,NULL,"ABBREVAny questions specific to products should be made to your healthcare professional. If you wish to file an adverse drug reaction please contact Novo Nordisk’s office in the country you live in: https://bit.ly/NNWorldMap

You can do it by calling...","+45 4444 8888",PLACE,NULL,NULL,NULL,null,null,"Novo Allé, 2880 Bagsværd, Kobenhavn, Denmark",com.restfb.types.Page$PageStartDate@6ab7049e,Founded,NULL,NULL,1742,0,novonordisk,blue_verified,1,com.restfb.types.Page$VoipInfo@5d278c89,"www.novonordisk.com www.novonordiskpro.com www.youtube.com/novonordisk www.twitter.com/novonordisk www.linkedin.com/company/novonordisk www.pinterest.com/novonordisk",0,"1922-12-31 16:21:39"
39,"Balfour Beatty is a leading international infrastructure group. We finance, develop, build and maintain the vital infrastructure that we all depend on.",NULL,0,NULL,NULL,NULL,NULL,1,Engineering/Construction,90,0,"Balfour Beatty Construction",null,NULL,NULL,"ABBREVWe’ve been shaping the future for over 100 years: http://bit.ly/1gqGwt0

Follow us on Twitter: @balfourbeatty
Subscribe to our YouTube channel: Balfour Beatty
Follow us on Instagram: @BalfourBeatty

Balfour Beatty is a leading international infra...","5 Churchill Place・London, United Kingdom・90 people checked in here",NULL,NULL,114292728603934,NULL,1909,NULL,NULL,,https://www.facebook.com/balfourbeatty?fref=ts,NULL,null,NULL,0,0,6663,https://www.facebook.com/balfourbeatty/,"Location[city=London country=United Kingdom latitude=51.50429 locatedIn=null longitude=-0.0139 name=null region=null state=null street=5 Churchill Place zip=E14 5HU]",NULL,NULL,NULL,"Balfour Beatty",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,08001214444,PLACE,NULL,NULL,NULL,null,null,"5 Churchill Place, E14 5HU London, United Kingdom",com.restfb.types.Page$PageStartDate@30e42350,Founded,NULL,NULL,104,0,balfourbeatty,not_verified,0,com.restfb.types.Page$VoipInfo@47dc5fa1,www.balfourbeatty.com,0,"1908-12-31 16:21:39"
40,"We equip engineers and scientists with systems that accelerate productivity, innovation, and discovery.",NULL,0,NULL,NULL,NULL,NULL,1,Computers/Technology,3640,0,"National Instruments",null,NULL,NULL,"ABBREVFriends, here are some guidelines for participating in our Facebook community on our page.

*No spamming
*No offensive language
*No self-serving promotion of goods/services
*No personal attacks
*No fundraising
*No intentionally provocative conten...","11500 N Mopac Expy・Austin, Texas・3,640 people checked in here",NULL,NULL,19822934020,NULL,NULL,NULL,NULL,,https://www.facebook.com/NationalInstruments?fref=ts,NULL,null,NULL,0,0,77835,https://www.facebook.com/NationalInstruments/,"Location[city=Austin country=United States latitude=30.40798704998 locatedIn=null longitude=-97.727018681959 name=null region=null state=TX street=11500 N Mopac Expy zip=78759]",NULL,NULL,NULL,"National Instruments",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,NULL,PLACE,NULL,NULL,NULL,null,null,"11500 N Mopac Expy, Austin, Texas 78759",null,Unspecified,NULL,NULL,5606,0,NationalInstruments,not_verified,0,com.restfb.types.Page$VoipInfo@75971f50,http://www.ni.com,3640,NULL
41,"Experience What's Inside",NULL,0,NULL,NULL,NULL,NULL,1,Product/Service,0,0,Intel,null,NULL,NULL,"Inspired Innovation that's Changing the World.",NULL,NULL,NULL,22707976849,NULL,1968,NULL,NULL,,https://www.facebook.com/Intel?fref=ts,NULL,null,NULL,0,0,25245390,https://www.facebook.com/Intel/,null,NULL,"ABBREVKeep the innovation economy moving into the future.

HOUSE RULES:

Welcome to Intel’s Facebook page. We’re glad you are here. 

This page provides a place to discuss the Intel brand, our family of products, initiatives, services and breaking news...",NULL,Intel,NULL,"Intel, the world leader in silicon innovation, develops technologies, products and initiatives to continually advance how people work and live.
",NULL,NULL,null,0,NULL,NULL,NULL,NULL,NULL,NULL,"ABBREV@Intel on Twitter
http://twitter.com/intel
http://twitter.com/intelinside 
http://twitter.com/intelsupport (support queries)

@Intel on Instagram
http://instagram.com/intel

Intel Blogs
Family of Intel blogs http://blogs.intel.com

Intel Hardware...",NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@249aadea,Founded,NULL,NULL,27195,0,Intel,blue_verified,1,com.restfb.types.Page$VoipInfo@244af86f,http://www.intel.com,0,"1967-12-31 16:21:40"
42,"Join the conversation! 
Customer Service: https://goo.gl/ggRy3T
File A Claim: https://goo.gl/B1y0pq",NULL,0,NULL,NULL,NULL,NULL,1,Organization,279,0,"American Fidelity Assurance",null,NULL,NULL,"ABBREVFounded in 1960, American Fidelity provides supplemental health insurance benefits and financial services to education employees, auto dealerships, health care providers and municipal workers across the United States. Our industry focus means we ...","279 people checked in here",NULL,NULL,333011163569,NULL,"January 1, 1960",NULL,NULL,,https://www.facebook.com/amfidelity?fref=ts,NULL,null,NULL,0,0,1286,https://www.facebook.com/amfidelity/,null,NULL,NULL,NULL,"American Fidelity",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,800-654-8489,NULL,NULL,NULL,NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@707a5b82,Founded,NULL,NULL,33,0,amfidelity,not_verified,0,com.restfb.types.Page$VoipInfo@6a706b96,www.americanfidelity.com,0,"1960-02-01 16:21:41"
